"jc2656" "jc2657" "jc2658" "jc2659"
638 722 1267 916
696 946 2072 1605
28 30 98 78
17 6 29 16
15 27 73 41
433 489 1051 794
128 123 85 53
293 291 231 129
645 875 1636 1347
261 276 180 126
680 1003 2243 1862
1307 1986 3761 2830
42 76 69 48
393 669 1430 1208
18 20 36 45
354 410 834 526
139 152 308 254
191 201 559 384
560 578 1555 948
392 597 1522 1273
2140 3591 6314 4089
250 357 948 760
536 611 1596 943
80 109 242 260
27 27 60 51
104 91 283 86
637 837 1772 1230
139 75 232 70
455 652 1324 1124
49 59 185 143
250 307 793 623
151 187 464 195
115 129 358 227
350 482 1026 523
500 999 1951 1656
111 140 358 247
68 91 237 98
9 16 36 14
236 363 928 681
39 43 107 83
733 1183 2713 1802
320 493 887 720
250 286 799 330
21 21 45 35
130 136 338 272
14 18 26 26
840 1633 3475 2769
279 394 1102 617
376 595 1345 1100
503 620 1621 553
787 1413 3131 2189
335 429 949 718
229 353 861 789
252 383 938 800
26 14 51 10
301 523 1223 840
9 17 48 47
15 24 71 40
577 795 1837 985
481 881 1700 1233
86 133 305 212
292 390 862 593
416 583 1365 869
446 680 1653 956
47 57 23 23
482 759 1881 1339
414 508 1151 709
172 250 517 375
1375 1879 4258 3670
297 446 1156 861
292 323 807 549
357 379 753 684
1078 966 2130 1215
85 118 308 225
1487 1913 4777 2414
400 437 1213 787
655 717 1751 1172
785 1160 2710 1620
1167 1361 2772 1851
703 886 2240 1430
390 709 1659 1441
263 417 1056 898
329 466 1118 784
309 338 865 635
91 84 196 222
781 986 2314 1259
82 65 237 93
35 33 57 17
488 500 1339 503
727 1070 2513 1796
655 777 2042 917
1392 2180 4720 2420
476 623 1594 1160
96 110 292 203
574 868 1997 1509
97 128 337 277
9 23 35 44
108 172 401 304
16 16 20 29
706 1021 2386 2014
467 709 1630 1043
987 1621 3434 2924
21 20 44 36
851 1215 2965 2446
44 21 19 6
748 879 2096 989
634 964 2186 1748
1492 2445 4804 3205
19 33 52 6
121 146 326 312
292 342 979 806
23 22 14 4
1088 1792 3481 2705
1306 2032 4141 3058
42 48 34 18
1089 1204 2199 1018
231 224 566 390
41 31 18 11
991 1299 2486 2003
642 885 2182 1620
88 84 194 84
716 798 1867 907
1455 2191 4318 2977
149 153 67 41
635 900 1577 1291
66 120 128 51
72 94 55 42
494 698 1420 1071
813 1013 2047 1591
893 1290 2827 2379
31 35 29 10
39 26 20 14
904 1469 3411 2778
25 28 14 15
563 707 1637 1186
63 69 130 108
32 22 83 36
253 262 733 530
531 706 1558 1162
338 485 1184 938
540 719 1481 1172
1061 1539 3334 2582
206 260 728 650
230 260 607 337
1413 2381 4959 3946
36 40 34 7
177 208 406 374
365 436 984 784
55 60 103 77
3794 6539 12663 9841
1483 2096 3533 2653
34 30 18 17
364 451 862 645
111 117 88 84
15 30 50 15
175 273 396 362
353 373 759 651
1547 2591 5219 3583
71 77 82 28
3150 4655 8047 5534
